ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE;DESCRIPCION;CLASE;PELIGRO_SECUNDARIO;NOMBRE_TECNICO;FECHAINICIO;FECHAFIN
13;S;07.02.2022 11:44;;07.02.2022 11:44;;0020;MUNICIONES TOXICAS con carga detonante, carga expulsora o carga propulsora?;1.2K;6.1;Substancias y objetos que presentan un riesgo de proyección, pero no de explosión de la totalidad de la masa.;12.01.2021;
14;S;07.02.2022 11:44;;07.02.2022 11:44;;0021;MUNICIONES TOXICAS con carga detonante, carga expulsora o carga propulsora?;1.3K;6.1;Substancias y objetos que presentan un riesgo de incendio y un riesgo de que se produzcan pequeños efectos de onda expansiva o de proyección o de ambos, pero no de explosión de la totalidad de la masa.;12.01.2021;
15;S;07.02.2022 11:44;;07.02.2022 11:44;;0027;POLVORA NEGRA en forma de granos o de polvo?;1.1D;;;12.01.2021;
16;S;07.02.2022 11:44;;07.02.2022 11:44;;0028;POLVORA NEGRA COMPRIMIDA o POLVORA NEGRA EN COMPRIMIDOS?;1.1D;;;12.01.2021;
17;S;07.02.2022 11:44;;07.02.2022 11:44;;0029;DETONADORES NO ELECTRICOS para voladuras?;1.1B;;;12.01.2021;
18;S;07.02.2022 11:44;;07.02.2022 11:44;;0030;DETONADORES ELECTRICOS para voladuras?;1.1B;;;12.01.2021;
19;S;07.02.2022 11:44;;07.02.2022 11:44;;0033;BOMBAS con carga explosiva?;1.1F;;;12.01.2021;
20;S;07.02.2022 11:44;;07.02.2022 11:44;;0034;BOMBAS con carga explosiva?;1.1D;;;12.01.2021;
21;S;07.02.2022 11:44;;07.02.2022 11:44;;0035;BOMBAS con carga explosiva?;1.2D;;;12.01.2021;
22;S;07.02.2022 11:44;;07.02.2022 11:44;;0037;BOMBAS DE ILUMINACION PARA FOTOGRAFIA?;1.1F;;;12.01.2021;
23;S;07.02.2022 11:44;;07.02.2022 11:44;;0038;BOMBAS DE ILUMINACION PARA FOTOGRAFIA?;1.1D;;;12.01.2021;
24;S;07.02.2022 11:44;;07.02.2022 11:44;;0039;BOMBAS DE ILUMINACION PARA FOTOGRAFIA?;1.2G;;;12.01.2021;
25;S;07.02.2022 11:44;;07.02.2022 11:44;;0042;PETARDOS sin detonador;1.1D;;;12.01.2021;
26;S;07.02.2022 11:44;;07.02.2022 11:44;;0043;DETONADORES CON EXPLOSIVO;1.1D;;;12.01.2021;
27;S;07.02.2022 11:44;;07.02.2022 11:44;;0044;CEBOS TIPO CAPSULA?;1.4S;;;12.01.2021;
28;S;07.02.2022 11:44;;07.02.2022 11:44;;0048;CARGAS DE DEMOLICION?;1.1D;;;12.01.2021;
29;S;07.02.2022 11:44;;07.02.2022 11:44;;0049;CARTUCHOS FULGURANTES?;1.1G;;;12.01.2021;
30;S;07.02.2022 11:44;;07.02.2022 11:44;;0050;CARTUCHOS FULGURANTES?;1.3G;;;12.01.2021;
31;S;07.02.2022 11:44;;07.02.2022 11:44;;0054;CARTUCHOS DE SEÑALES?;1.3G;;;12.01.2021;
32;S;07.02.2022 11:44;;07.02.2022 11:44;;0055;CARTUCHOS VACIOS CEBADOS(CON FULMINANTE);1.4S;;;12.01.2021;
33;S;07.02.2022 11:44;;07.02.2022 11:44;;0056;CARGAS DE PROFUNDIDAD?;1.1D;;;12.01.2021;
34;S;07.02.2022 11:44;;07.02.2022 11:44;;0059;CARGAS HUECAS sin detonador?;1.1D;;;12.01.2021;
35;S;07.02.2022 11:44;;07.02.2022 11:44;;0060;CARGAS EXPLOSIVAS PARA PETARDOS MULTIPLICADORES ?;1.1D;;;12.01.2021;
36;S;07.02.2022 11:44;;07.02.2022 11:44;;0065;MECHA DETONANTE flexible?;1.1D;;;12.01.2021;
37;S;07.02.2022 11:44;;07.02.2022 11:44;;0066;MECHA DE ENCENDIDO?;1.4G;;;12.01.2021;
38;S;07.02.2022 11:44;;07.02.2022 11:44;;0070;CIZALLAS CORTACABLES CON CARGA EXPLOSIVA?;1.4S;;;12.01.2021;
39;S;07.02.2022 11:44;;07.02.2022 11:44;;0072;CICLOTRIMETILENTRINITRAMINA (CICLONITA; RDX; HEXOGENO) HUMEDECIDA con no menos de 15%, en masa, de agua?;1.1D;;;12.01.2021;
40;S;07.02.2022 11:44;;07.02.2022 11:44;;0073;DETONADORES PARA MUNICIONES?;1.1B;;;12.01.2021;
41;S;07.02.2022 11:44;;07.02.2022 11:44;;0074;DIAZODINITROFENOL HUMEDECIDO con no menos de 40%, en masa, de agua o de una mezcla de alcohol y agua?;1.1A;;;12.01.2021;
42;S;07.02.2022 11:44;;07.02.2022 11:44;;0075;DINITRATO DE DIETILENGLICOL DESENSIBILIZADO con no menos de 25%, en masa, inhibidor no volátil insoluble en agua?;1.1D;;;12.01.2021;
43;S;07.02.2022 11:44;;07.02.2022 11:44;;0076;DINITROFENOL seco o humedecido con menos de 15%, en masa, de agua?;1.1D;6.1;;12.01.2021;
44;S;07.02.2022 11:44;;07.02.2022 11:44;;0077;DINITROFENOLATOS de metales alcalinos, secos o humedecidos con menos de 15%, en masa, de agua?;1.3C;6.1;;12.01.2021;
45;S;07.02.2022 11:44;;07.02.2022 11:44;;0078;DINITRORRESORCINOL seco o humedecido con menos de 15%, en masa, de agua?;1.1D;;;12.01.2021;
46;S;07.02.2022 11:44;;07.02.2022 11:44;;0079;HEXANITRODIFENILAMINA (DIPICRILAMINA; HEXILO)?;1.1D;;;12.01.2021;
47;S;07.02.2022 11:44;;07.02.2022 11:44;;0081;EXPLOSIVOS PARA VOLADURAS, TIPO A?;1.1D;;;12.01.2021;
48;S;07.02.2022 11:44;;07.02.2022 11:44;;0082;EXPLOSIVOS PARA VOLADURAS, TIPO B?;1.1D;;;12.01.2021;
49;S;07.02.2022 11:44;;07.02.2022 11:44;;0083;EXPLOSIVOS PARA VOLADURAS, TIPO C?;1.1D;;;12.01.2021;
50;S;07.02.2022 11:44;;07.02.2022 11:44;;0084;EXPLOSIVOS PARA VOLADURAS, TIPO D?;1.1D;;;12.01.2021;
51;S;07.02.2022 11:44;;07.02.2022 11:44;;0092;BENGALAS DE SUPERFICIE?;1.3G;;;12.01.2021;
52;S;07.02.2022 11:44;;07.02.2022 11:44;;0093;BENGALAS AEREAS?;1.3G;;;12.01.2021;
53;S;07.02.2022 11:44;;07.02.2022 11:44;;0094;POLVORA DE DESTELLOS?;1.1G;;;12.01.2021;
54;S;07.02.2022 11:44;;07.02.2022 11:44;;0099;CARTUCHOS DE AGRIETAMIENTO, EXPLOSIVOS, sin detonador, para pozos de petróleo;1.1D;;;12.01.2021;
55;S;07.02.2022 11:44;;07.02.2022 11:44;;0101;MECHA NO DETONANTE?;1.3G;;;12.01.2021;
56;S;07.02.2022 11:44;;07.02.2022 11:44;;0102;MECHA DETONANTE con recubrimiento metálico;1.2D;;;12.01.2021;
57;S;07.02.2022 11:44;;07.02.2022 11:44;;0103;MECHA DE IGNICION o INFLAMACION, tubular, con recubrimiento metálico?;1.4G;;;12.01.2021;
58;S;07.02.2022 11:44;;07.02.2022 11:44;;0104;MECHA DETONANTE DE EFECTO REDUCIDO, con recubrimiento metálico?;1.4D;;;12.01.2021;
59;S;07.02.2022 11:44;;07.02.2022 11:44;;0105;MECHA DE SEGURIDAD?  (MECHA LENTA O MECHA BICKFORD);1.4S;;;12.01.2021;
60;S;07.02.2022 11:44;;07.02.2022 11:44;;0106;ESPOLETA DETONANTE?;1.1B;;;12.01.2021;
61;S;07.02.2022 11:44;;07.02.2022 11:44;;0107;ESPOLETA DETONANTE?;1.2B;;;12.01.2021;
62;S;07.02.2022 11:44;;07.02.2022 11:44;;0110;GRANADAS, PARA PRACTICAS de mano o de fusil?;1.4S;;;12.01.2021;
63;S;07.02.2022 11:44;;07.02.2022 11:44;;0113;GUANILNITROSAMINO-GUANILIDENHIDRACINA HUMEDECIDA con no menos de 30%, en masa, de agua?;1.1 A;;;12.01.2021;
64;S;07.02.2022 11:44;;07.02.2022 11:44;;0114;GUANILNITROSAMINOGUANILTETRACENO (TETRACENO) HUMEDECIDO con no menos de 30%, en masa, de agua o de una mezcla de alcohol y agua?;1.1 A;;;12.01.2021;
65;S;07.02.2022 11:44;;07.02.2022 11:44;;0118;HEXOLITA (HEXOTOL) seca o humedecida con menos de 15%, en masa, de agua?;1.1D;;;12.01.2021;
66;S;07.02.2022 11:44;;07.02.2022 11:44;;0121;INICIADORES;1.1G;;;12.01.2021;
67;S;07.02.2022 11:44;;07.02.2022 11:44;;0124;DISPOSITIVOS PORTADORES DE CARGAS HUECAS, CARGADOS, para perforación de pozos de petróleo, sin detonador ?;1.1D;;;12.01.2021;
68;S;07.02.2022 11:44;;07.02.2022 11:44;;0129;AZIDA DE PLOMO HUMEDECIDA con no menos de 20%, en masa, de agua o de una mezcla de alcohol y agua?;1.1 A;;;12.01.2021;
69;S;07.02.2022 11:44;;07.02.2022 11:44;;0130;ESTIFNATO DE PLOMO (TRINITRORRESORCINATO DE PLOMO) HUMEDECIDO con no menos de 20%, en masa, de agua o de una mezcla de alcohol y agua?;1.1 A;;;12.01.2021;
70;S;07.02.2022 11:44;;07.02.2022 11:44;;0131;ENCENDEDORES PARA MECHA DE SEGURIDAD;1.4S;;;12.01.2021;
71;S;07.02.2022 11:44;;07.02.2022 11:44;;0132;SALES METALICAS DEFLAGRANTES DE NITRO-DERIVADOS AROMATICOS, N.E.P?;1.3C;;Substancias y objetos que presentan un riesgo de incendio y un riesgo de que se produzcan pequeños efectos de onda expansiva o de proyección o de ambos, pero no de explosión de la totalidad de la masa.;12.01.2021;
72;S;07.02.2022 11:44;;07.02.2022 11:44;;0133;HEXANITRATO DE MANITOL (NITROMANITA) HUMEDECIDO con no menos de 40%, en masa, de agua o de una mezcla de alcohol y agua?;1.1D;;;12.01.2021;
73;S;07.02.2022 11:44;;07.02.2022 11:44;;0135;FULMINATO DE MERCURIO HUMEDECIDO con no menos de 20%, en masa, de agua o de una mezcla de alcohol y agua?;1.1 A;;;12.01.2021;
74;S;07.02.2022 11:44;;07.02.2022 11:44;;0136;MINAS con carga explosiva?;1.1F;;;12.01.2021;
75;S;07.02.2022 11:44;;07.02.2022 11:44;;0137;MINAS con carga explosiva?;1.1D;;;12.01.2021;
76;S;07.02.2022 11:44;;07.02.2022 11:44;;0138;MINAS con carga explosiva?;1.2D;;;12.01.2021;
77;S;07.02.2022 11:44;;07.02.2022 11:44;;0143;NITROGLICERINA DESENSIBILIZADA con un mínimo del 40%, en masa, de inhibidor no volátil insoluble en agua?;1.1D;6.1;;12.01.2021;
78;S;07.02.2022 11:44;;07.02.2022 11:44;;0144;NITROGLICERINA EN SOLUCION ALCOHOLICA con más de 1% pero no más de 10% de nitroglicerina?;1.1D;;;12.01.2021;
79;S;07.02.2022 11:44;;07.02.2022 11:44;;0146;NITROALMIDON seco o humedecido con menos de 20%, en masa, de agua?;1.1D;;;12.01.2021;
80;S;07.02.2022 11:44;;07.02.2022 11:44;;0147;NITROUREA?;1.1D;;;12.01.2021;
81;S;07.02.2022 11:44;;07.02.2022 11:44;;0150;TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA TNPE) HUMEDECIDO con no menos de 25%, en masa, de agua, o TETRANITRATO DE PENTAERITRITO (TETRANITRATO DE PENTAERITRITOL; TNPE) DESENSIBILIZADO con no menos de 15%, en masa, de flemador?;1.1D;;;12.01.2021;
82;S;07.02.2022 11:44;;07.02.2022 11:44;;0151;PENTOLITA seca o humedecida con menos de 15%, en masa, de agua?;1.1D;;;12.01.2021;
83;S;07.02.2022 11:44;;07.02.2022 11:44;;0153;TRINITROANILINA (PICRAMIDA)?;1.1D;;;12.01.2021;
84;S;07.02.2022 11:44;;07.02.2022 11:44;;0154;TRINITROFENOL (ACIDO PICRICO) seco o humedecido con menos de 30%, en masa, de agua?;1.1D;;;12.01.2021;
85;S;07.02.2022 11:44;;07.02.2022 11:44;;0155;TRINITROCLOROBENCENO (CLORURO DE PICRILO)?;1.1D;;;12.01.2021;
86;S;07.02.2022 11:44;;07.02.2022 11:44;;0159;PASTA DE POLVORA HUMEDECIDA con no menos de 25%, en masa, de agua?;1.3C;;;12.01.2021;
87;S;07.02.2022 11:44;;07.02.2022 11:44;;0160;POLVORA SIN HUMO?;1.1C;;;12.01.2021;
88;S;07.02.2022 11:44;;07.02.2022 11:44;;0161;POLVORA SIN HUMO?;1.3C;;;12.01.2021;
89;S;07.02.2022 11:44;;07.02.2022 11:44;;0167;PROYECTILES con carga explosiva?;1.1F;;;12.01.2021;
90;S;07.02.2022 11:44;;07.02.2022 11:44;;0168;PROYECTILES con carga explosiva?;1.1D;;;12.01.2021;
91;S;07.02.2022 11:44;;07.02.2022 11:44;;0169;PROYECTILES con carga explosiva?;1.2D;;;12.01.2021;
92;S;07.02.2022 11:44;;07.02.2022 11:44;;0171;MUNICIONES DE ILUMINACION con o sin carga detonante, carga expulsora o carga propulsora?;1.2G;;;12.01.2021;
93;S;07.02.2022 11:44;;07.02.2022 11:44;;0173;DISPOSITIVOS EXPLOSIVOS DE LIBERACION;1.4S;;;12.01.2021;
94;S;07.02.2022 11:44;;07.02.2022 11:44;;0174;REMACHES EXPLOSIVOS;1.4S;;;12.01.2021;
95;S;07.02.2022 11:44;;07.02.2022 11:44;;0180;COHETES con carga explosiva?;1.1F;;;12.01.2021;
96;S;07.02.2022 11:44;;07.02.2022 11:44;;0181;COHETES con carga explosiva?;1.1E;;;12.01.2021;
97;S;07.02.2022 11:44;;07.02.2022 11:44;;0182;COHETES con carga explosiva?;1.2E;;;12.01.2021;
98;S;07.02.2022 11:44;;07.02.2022 11:44;;0183;COHETES con cabeza inerte?;1.3C;;;12.01.2021;
99;S;07.02.2022 11:44;;07.02.2022 11:44;;0186;MOTORES DE COHETE?;1.3C;;;12.01.2021;
100;S;07.02.2022 11:44;;07.02.2022 11:44;;0190;MUESTRAS DE EXPLOSIVOS, excepto los explosivos iniciadores?;;;Explosivos.;12.01.2021;
101;S;07.02.2022 11:44;;07.02.2022 11:44;;0191;ARTIFICIOS MANUALES DE PIROTECNIA PARA SEÑALES?;1.4G;;;12.01.2021;
102;S;07.02.2022 11:44;;07.02.2022 11:44;;0192;PETARDOS DE SEÑALES EXPLOSIVAS PARA FERROCARRIL ?;1.1G;;;12.01.2021;
103;S;07.02.2022 11:44;;07.02.2022 11:44;;0193;PETARDOS DE SEÑALES EXPLOSIVAS PARA FERROCARRIL?;1.4S;;;12.01.2021;
104;S;07.02.2022 11:44;;07.02.2022 11:44;;0194;SEÑALES DE SOCORRO para barcos?;1.1G;;;12.01.2021;
105;S;07.02.2022 11:44;;07.02.2022 11:44;;0195;SEÑALES DE SOCORRO para barcos?;1.3G;;;12.01.2021;
106;S;07.02.2022 11:44;;07.02.2022 11:44;;0196;SEÑALES FUMIGENAS?;1.1G;;;12.01.2021;
107;S;07.02.2022 11:44;;07.02.2022 11:44;;0197;SEÑALES FUMIGENAS?;1.4G;;;12.01.2021;
108;S;07.02.2022 11:44;;07.02.2022 11:44;;0204;CARGAS EXPLOSIVAS PARA SONDEOS?;1.2F;;;12.01.2021;
109;S;07.02.2022 11:44;;07.02.2022 11:44;;0207;TETRANITROANILINA?;1.1D;;;12.01.2021;
110;S;07.02.2022 11:44;;07.02.2022 11:44;;0208;TRINITROFENILMETILNITRAMINA (TETRILO)?;1.1D;;;12.01.2021;
111;S;07.02.2022 11:44;;07.02.2022 11:44;;0209;TRINITROTOLUENO (TNT) seco o humedecido con menos de 30%, en masa, de agua?;1.1D;;;12.01.2021;
112;S;07.02.2022 11:44;;07.02.2022 11:44;;0212;TRAZADORES PARA MUNICIONES?;1.3G;;;12.01.2021;
113;S;07.02.2022 11:44;;07.02.2022 11:44;;0213;TRINITROANISOL?;1.1D;;;12.01.2021;
114;S;07.02.2022 11:44;;07.02.2022 11:44;;0214;TRINITROBENCENO seco o humedecido con menos de 30%, en masa, de agua?;1.1D;;;12.01.2021;
115;S;07.02.2022 11:44;;07.02.2022 11:44;;0215;ACIDO TRINITROBENZOICO seco o humedecido con menos de 30%, en masa, de agua?;1.1D;;;12.01.2021;
116;S;07.02.2022 11:44;;07.02.2022 11:44;;0216;TRINITRO-m-CRESOL?;1.1D;;;12.01.2021;
117;S;07.02.2022 11:44;;07.02.2022 11:44;;0217;TRINITRONAFTALENO?;1.1D;;;12.01.2021;
118;S;07.02.2022 11:44;;07.02.2022 11:44;;0218;TRINITROFENETOL?;1.1D;;;12.01.2021;
119;S;07.02.2022 11:44;;07.02.2022 11:44;;0219;TRINITRORRESORCINOL  (TRINITRORRESORCINA, ACIDO ESTIFNICO) seco o humedecido con menos de 20%, en masa, de agua o de una mezcla de alcohol y agua?;1.1D;;;12.01.2021;
120;S;07.02.2022 11:44;;07.02.2022 11:44;;0220;NITRATO DE UREA seco o humedecido con menos de 20%, en masa, de agua?;1.1D;;;12.01.2021;
121;S;07.02.2022 11:44;;07.02.2022 11:44;;0221;CABEZAS DE COMBATE PARA TORPEDOS, con carga explosiva?;1.1D;;;12.01.2021;
122;S;07.02.2022 11:44;;07.02.2022 11:44;;0222;NITRATO DE AMONIO con más de 0,2% de materias combustibles, incluyendo cualquier substancia orgánica calculada como carbono, con la exclusión de cualquier otra substancia añadida?;1.1D;;;12.01.2021;
123;S;07.02.2022 11:44;;07.02.2022 11:44;;0224;AZIDA DE BARIO seca o humedecida con menos de 50%, en masa, de agua?;1.1ª;6.1;;12.01.2021;
124;S;07.02.2022 11:44;;07.02.2022 11:44;;0225;PETARDOS MULTIPLICADORES CON DETONADOR?;1.1B;;;12.01.2021;
125;S;07.02.2022 11:44;;07.02.2022 11:44;;0226;CICLOTETRAMETILENTETRANITRA-MINA (OCTOGENO; HMX) HUMEDECIDA con no menos de 15%, en masa, de agua?;1.1D;;;12.01.2021;
126;S;07.02.2022 11:44;;07.02.2022 11:44;;0234;DINITRO-o-CRESOLATO SODICO seco o humedecido con menos de 15%, en masa, de agua?;1.3C;;;12.01.2021;
127;S;07.02.2022 11:44;;07.02.2022 11:44;;0235;PICRAMATO DE SODIO seco o humedecido con menos de 20%, en masa, de agua?;1.3C;;;12.01.2021;
128;S;07.02.2022 11:44;;07.02.2022 11:44;;0236;PICRAMATO DE CIRCONIO seco o humedecido con menos de 20%, en masa, de agua?;1.3C;;;12.01.2021;
129;S;07.02.2022 11:44;;07.02.2022 11:44;;0237;CARGAS PERFILADAS DE DISEÑO FLEXIBLE ALINEADAS (MECHA DETONANTE PERFILADA FLEXIBLE) ?;1.4D;;;12.01.2021;
130;S;07.02.2022 11:44;;07.02.2022 11:44;;0238;COHETES LANZACABOS?;1.2G;;;12.01.2021;
131;S;07.02.2022 11:44;;07.02.2022 11:44;;0240;COHETES LANZACABOS?;1.3G;;;12.01.2021;
132;S;07.02.2022 11:44;;07.02.2022 11:44;;0241;EXPLOSIVOS PARA VOLADURAS, TIPO E?;1.1D;;;12.01.2021;
133;S;07.02.2022 11:44;;07.02.2022 11:44;;0242;CARGAS PROPULSORAS DE ARTILLERIA?;1.3C;;;12.01.2021;
134;S;07.02.2022 11:44;;07.02.2022 11:44;;0243;MUNICIONES INCENDIARIAS DE FOSFORO BLANCO, con carga detonante, carga expulsora o carga propulsora?;1.2H;;;12.01.2021;
135;S;07.02.2022 11:44;;07.02.2022 11:44;;0244;MUNICIONES INCENDIARIAS DE FOSFORO BLANCO, con carga detonante, carga expulsora o carga propulsora?;1.3H;;;12.01.2021;
136;S;07.02.2022 11:44;;07.02.2022 11:44;;0245;MUNICIONES FUMIGENAS CON FOSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora?;1.2H;;;12.01.2021;
137;S;07.02.2022 11:44;;07.02.2022 11:44;;0246;MUNICIONES FUMIGENAS CON FOSFORO BLANCO, con carga detonante, carga expulsora o carga propulsora?;1.3H;;;12.01.2021;
138;S;07.02.2022 11:44;;07.02.2022 11:44;;0247;MUNICIONES INCENDIARIAS en forma de líquido o de gel, con carga detonante, carga expulsora o carga propulsora?;1.3J;;;12.01.2021;
139;S;07.02.2022 11:44;;07.02.2022 11:44;;0248;DISPOSITIVOS ACTIVADOS POR AGUA, con carga detonante carga expulsora o carga propulsora?;1.2L;;Substancias y objetos que presentan un riesgo de proyección, pero no de explosión de la totalidad de la masa.;12.01.2021;
140;S;07.02.2022 11:44;;07.02.2022 11:44;;0249;DISPOSITIVOS ACTIVADOS POR AGUA, con carga detonante carga expulsora o carga propulsora?;1.3L;;Substancias y objetos que presentan un riesgo de incendio y un riesgo de que se produzcan pequeños efectos de onda expansiva o de proyección o de ambos, pero no de explosión de la totalidad de la masa.;12.01.2021;
141;S;07.02.2022 11:44;;07.02.2022 11:44;;0250;MOTORES DE COHETE CON LIQUIDOS HIPERGOLICOS, con o sin carga expulsora?;1.3L;;;12.01.2021;
142;S;07.02.2022 11:44;;07.02.2022 11:44;;0254;MUNICIONES DE LUMINACIÓN con o sin carga detonante, carga expulsora o carga propulsora?;1.3G;;;12.01.2021;
143;S;07.02.2022 11:44;;07.02.2022 11:44;;0255;DETONADORES ELECTRICOS para voladuras?;1.4B;;;12.01.2021;
144;S;07.02.2022 11:44;;07.02.2022 11:44;;0257;ESPOLETAS DETONANTES?;1.4B;;;12.01.2021;
145;S;07.02.2022 11:44;;07.02.2022 11:44;;0266;OCTOLITA (OCTOL) seca o humidificada con menos de 15%, en masa, de agua?;1.1D;;;12.01.2021;
146;S;07.02.2022 11:44;;07.02.2022 11:44;;0267;DETONADORES NO ELECTRICOS para voladuras?;1.4B;;;12.01.2021;
147;S;07.02.2022 11:44;;07.02.2022 11:44;;0268;PETARDOS MULTIPLICADORES CON DETONADOR?;1.2B;;;12.01.2021;
148;S;07.02.2022 11:44;;07.02.2022 11:44;;0271;CARGAS PROPULSORAS?;1.1C;;;12.01.2021;
149;S;07.02.2022 11:44;;07.02.2022 11:44;;0272;CARGAS PROPULSORAS?;1.3C;;;12.01.2021;
150;S;07.02.2022 11:44;;07.02.2022 11:44;;0275;CARTUCHOS DE ACCIONAMIENTO?;1.3C;;;12.01.2021;
151;S;07.02.2022 11:44;;07.02.2022 11:44;;0276;CARTUCHOS DE ACCIONAMIENTO?;1.4C;;;12.01.2021;
152;S;07.02.2022 11:44;;07.02.2022 11:44;;0277;CARTUCHOS PARA PERFORACIÓN DE  POZOS PETROLÍFEROS;1.3C;;;12.01.2021;
153;S;07.02.2022 11:44;;07.02.2022 11:44;;0278;CARTUCHOS PARA PERFORACIÓN DE  POZOS PETROLÍFEROS;1.4C;;;12.01.2021;
154;S;07.02.2022 11:44;;07.02.2022 11:44;;0279;CARGAS PROPULSORAS DE ARTILLERIA?;1.1C;;;12.01.2021;
155;S;07.02.2022 11:44;;07.02.2022 11:44;;0280;MOTORES DE COHETE?;1.1C;;;12.01.2021;
156;S;07.02.2022 11:44;;07.02.2022 11:44;;0281;MOTORES DE COHETE?;1.2C;;;12.01.2021;
157;S;07.02.2022 11:44;;07.02.2022 11:44;;0282;NITROGUANIDINA (PICRITA) seca o humedecida con menos de 20%, en masa, de agua?;1.1D;;;12.01.2021;
158;S;07.02.2022 11:44;;07.02.2022 11:44;;0283;PETARDOS MULTIPLICADORES (CARTUCHOS) sin detonador?;1.2D;;;12.01.2021;
159;S;07.02.2022 11:44;;07.02.2022 11:44;;0284;GRANADAS de mano o de fusil, con carga explosiva?;1.1D;;;12.01.2021;
160;S;07.02.2022 11:44;;07.02.2022 11:44;;0285;GRANADAS de mano o de fusil, con carga explosiva?;1.2D;;;12.01.2021;
161;S;07.02.2022 11:44;;07.02.2022 11:44;;0286;CABEZAS DE COMBATE PARA COHETES, con carga explosiva?;1.1D;;;12.01.2021;
162;S;07.02.2022 11:44;;07.02.2022 11:44;;0287;CABEZAS DE COMBATE PARA COHETES, con carga explosiva?;1.2D;;;12.01.2021;
163;S;07.02.2022 11:44;;07.02.2022 11:44;;0288;MECHA DETONANTE PERFILADA  FLEXIBLE?;1.1D;;;12.01.2021;
164;S;07.02.2022 11:44;;07.02.2022 11:44;;0289;MECHA DETONANTE flexible?;1.4D;;;12.01.2021;
165;S;07.02.2022 11:44;;07.02.2022 11:44;;0290;CORDON (MECHA) DETONANTE con recubrimiento metálico;1.1D;;;12.01.2021;
166;S;07.02.2022 11:44;;07.02.2022 11:44;;0291;BOMBAS con carga explosiva?;1.2F;;;12.01.2021;
167;S;07.02.2022 11:44;;07.02.2022 11:44;;0292;GRANADAS de mano o de fusil, con carga explosiva?;1.1F;;;12.01.2021;
168;S;07.02.2022 11:44;;07.02.2022 11:44;;0293;GRANADAS de mano o de fusil, con carga explosiva?;1.2F;;;12.01.2021;
169;S;07.02.2022 11:44;;07.02.2022 11:44;;0294;MINAS con carga explosiva?;1.2F;;;12.01.2021;
170;S;07.02.2022 11:44;;07.02.2022 11:44;;0295;COHETES con carga explosiva?;1.2F;;;12.01.2021;
171;S;07.02.2022 11:44;;07.02.2022 11:44;;0296;CARGAS EXPLOSIVAS PARA SONDEOS ?;1.1F;;;12.01.2021;
172;S;07.02.2022 11:44;;07.02.2022 11:44;;0297;MUNICIONES DE LUMINACIÓN con o sin carga detonante, carga expulsora o carga propulsora?;1.4G;;;12.01.2021;
173;S;07.02.2022 11:44;;07.02.2022 11:44;;0299;BOMBAS DE LUMINACIÓN PARA FOTOGRAFIA?;1.3G;;;12.01.2021;
